Screen11,Screen12,Screen13,Screen1,Screen2,Answer,Feedback,Tv
P,R,O,There is a P or,there is a T.,x,J,TF
M,A,T,There is an N or,there is an R.,x,F,FF
B,A,T,There is a Q or,there is an L.,x,F,FF
P,I,T,There is a P or,there is an E.,x,J,TF
D,O,T,There is a D or,there is a V.,x,J,TF
C,U,T,There is a B or,there is a Q.,x,F,FF
C,A,N,There is a K or,there is an N.,x,J,FT
P,R,O,There is a G or,there is an O.,x,F,FF
M,A,T,There is an M or,there is a P.,x,J,TF
B,A,T,There is a P or,there is a T.,x,J,FT
P,I,T,There is a D or,there is an A.,x,F,FF
B,E,D,There is a T or,there is a V.,,F,FF
C,U,T,There is a B or,there is a T.,,J,FT
C,R,Y,There is a J or,there is an N.,,F,FF
P,R,O,There is a U or,there is an R.,,J,FT
M,A,T,There is a K or,there is a D.,,F,FF
B,A,T,There is a C or,there is a T.,,J,TF
P,I,T,There is a W or,there is an E.,,F,FF
D,O,T,There is a D or,there is a V.,,J,TF
C,U,T,There is an L or,there is a Y.,,F,FF
C,A,N,There is an X or,there is an N.,,J,FT
P,R,O,There is a J or,there is an M.,,F,FF
M,A,T,There is an M or,there is a P.,,J,TF
B,A,T,There is an L or,there is a Q.,,F,FF
P,I,T,There is a D or,there is an I.,,J,TF
B,E,D,There is a V or,there is a P.,,F,FF
C,U,T,There is a V or,there is a T.,,J,FT
C,R,Y,There is an I or,there is an N.,,F,FF
P,R,O,There is a P or,there is an A.,,J,TF
M,A,T,There is an E or,there is an X.,,F,FF
B,A,T,There is an L or,there is a T.,,J,FT
P,I,T,There is a B or,there is an E.,,F,FF
D,O,T,There is a D or,there is a G.,,J,TF
C,U,T,There is an M or,there is a K.,,F,FF
C,A,N,There is a P or,there is an N.,,J,FT
P,R,O,There is a C or,there is an A.,,F,FF
M,A,T,There is an A or,there is a P.,,J,TF
B,A,T,There is a Z or,there is an N.,,F,FF
P,I,T,There is an R or,there is a T.,,J,FT
B,E,D,There is a D or,there is a V.,,J,TF
C,U,T,There is an F or,there is a W.,,F,FF
C,R,Y,There is an E or,there is an N.,,F,FF